Source_ID,Site_ID,sampledate,Q_cfs,TotP_lbday,TotP_mgL
USGS,USGS 5427850,11/17/2008,104,0.051,
USGS,USGS 5427850,11/18/2008,73.2,0.054,
USGS,USGS 5427850,11/19/2008,122,0.058,
USGS,USGS 5427850,11/20/2008,92.3,0.061,
USGS,USGS 5427850,11/21/2008,81.7,0.065,
USGS,USGS 5427850,11/22/2008,80.3,0.07,
USGS,USGS 5427850,11/23/2008,88.4,0.074,
USGS,USGS 5427850,11/24/2008,94.4,0.077,
Not listed,WIDNR 133040,11/24/2008,,,0.079
USGS,USGS 5427850,11/25/2008,80.3,0.068,
USGS,USGS 5427850,11/26/2008,82.7,0.06,
USGS,USGS 5427850,11/27/2008,75.1,0.052,
USGS,USGS 5427850,11/28/2008,86.9,0.046,
USGS,USGS 5427850,11/29/2008,82.8,0.04,
USGS,USGS 5427850,11/30/2008,108,0.035,
USGS,USGS 5427850,12/1/2008,67.6,0.032,
Not listed,WIDNR 133040,12/1/2008,,,0.031
USGS,USGS 5427850,12/2/2008,70.6,0.032,
USGS,USGS 5427850,12/3/2008,96,0.033,
USGS,USGS 5427850,12/4/2008,74.9,0.035,
USGS,USGS 5427850,12/5/2008,61.4,0.036,
USGS,USGS 5427850,12/6/2008,88,0.037,
USGS,USGS 5427850,12/7/2008,69.3,0.038,
USGS,USGS 5427850,12/8/2008,79.6,0.04,
USGS,USGS 5427850,12/9/2008,81.1,0.041,
USGS,USGS 5427850,12/10/2008,72,0.043,
USGS,USGS 5427850,12/11/2008,77.8,0.044,
USGS,USGS 5427850,12/12/2008,67.4,0.046,
USGS,USGS 5427850,12/13/2008,69.5,0.047,
USGS,USGS 5427850,12/14/2008,92.5,0.049,
USGS,USGS 5427850,12/15/2008,105,0.051,
USGS,USGS 5427850,12/16/2008,81.1,0.052,
USGS,USGS 5427850,12/17/2008,90.1,0.054,
USGS,USGS 5427850,12/18/2008,83.6,0.056,
USGS,USGS 5427850,12/19/2008,84.1,0.058,
USGS,USGS 5427850,12/20/2008,82.2,0.06,
USGS,USGS 5427850,12/21/2008,84.7,0.062,
USGS,USGS 5427850,12/22/2008,78.2,0.065,
USGS,USGS 5427850,12/23/2008,87.3,0.067,
USGS,USGS 5427850,12/24/2008,86.2,0.069,
USGS,USGS 5427850,12/25/2008,87.9,0.071,
USGS,USGS 5427850,12/26/2008,87.7,0.073,
USGS,USGS 5427850,12/27/2008,128,0.1,
USGS,USGS 5427850,12/28/2008,207,0.153,
USGS,USGS 5427850,12/29/2008,218,0.233,
USGS,USGS 5427850,12/30/2008,153,0.308,
Not listed,WIDNR 133040,12/30/2008,,,0.343
USGS,USGS 5427850,12/31/2008,105,0.219,
USGS,USGS 5427850,1/1/2009,105,0.153,
USGS,USGS 5427850,1/2/2009,103,0.143,
USGS,USGS 5427850,1/3/2009,96.7,0.136,
USGS,USGS 5427850,1/4/2009,98.3,0.131,
USGS,USGS 5427850,1/5/2009,81.9,0.125,
USGS,USGS 5427850,1/6/2009,89.7,0.119,
USGS,USGS 5427850,1/7/2009,90.2,0.114,
USGS,USGS 5427850,1/8/2009,81.7,0.109,
USGS,USGS 5427850,1/9/2009,78.8,0.105,
USGS,USGS 5427850,1/10/2009,89,0.1,
USGS,USGS 5427850,1/11/2009,91.1,0.097,
USGS,USGS 5427850,1/12/2009,87.1,0.093,
USGS,USGS 5427850,1/13/2009,88.3,0.09,
USGS,USGS 5427850,1/14/2009,87.9,0.087,
USGS,USGS 5427850,1/15/2009,85.3,0.084,
USGS,USGS 5427850,1/16/2009,85.8,0.081,
USGS,USGS 5427850,1/17/2009,84.4,0.078,
USGS,USGS 5427850,1/18/2009,88.2,0.075,
USGS,USGS 5427850,1/19/2009,89.4,0.073,
USGS,USGS 5427850,1/20/2009,89.7,0.07,
USGS,USGS 5427850,1/21/2009,89.3,0.068,
USGS,USGS 5427850,1/22/2009,90.3,0.065,
USGS,USGS 5427850,1/23/2009,87,0.063,
USGS,USGS 5427850,1/24/2009,79.1,0.061,
USGS,USGS 5427850,1/25/2009,75.4,0.059,
USGS,USGS 5427850,1/26/2009,80.3,0.057,
USGS,USGS 5427850,1/27/2009,81.2,0.055,
USGS,USGS 5427850,1/28/2009,83.7,0.053,
USGS,USGS 5427850,1/29/2009,84.9,0.051,
USGS,USGS 5427850,1/30/2009,86.4,0.049,
USGS,USGS 5427850,1/31/2009,85.4,0.047,
USGS,USGS 5427850,2/1/2009,90.4,0.046,
USGS,USGS 5427850,2/2/2009,91.9,0.044,
USGS,USGS 5427850,2/3/2009,82.1,0.043,
USGS,USGS 5427850,2/4/2009,78.9,0.042,
USGS,USGS 5427850,2/5/2009,81.5,0.052,
Not listed,WIDNR 133040,2/5/2009,,,0.041
USGS,USGS 5427850,2/6/2009,88.4,0.069,
USGS,USGS 5427850,2/7/2009,97.8,0.091,
USGS,USGS 5427850,2/8/2009,128,0.124,
USGS,USGS 5427850,2/9/2009,171,0.197,
USGS,USGS 5427850,2/10/2009,294,0.321,
USGS,USGS 5427850,2/11/2009,544,0.522,
USGS,USGS 5427850,2/12/2009,483,0.723,
Not listed,WIDNR 133040,2/12/2009,,,0.815
USGS,USGS 5427850,2/13/2009,281,0.518,
Not listed,WIDNR 133040,2/13/2009,,,0.499
USGS,USGS 5427850,2/14/2009,158,0.438,
USGS,USGS 5427850,2/15/2009,118,0.386,
USGS,USGS 5427850,2/16/2009,102,0.341,
USGS,USGS 5427850,2/17/2009,99.6,0.305,
USGS,USGS 5427850,2/18/2009,102,0.3,
USGS,USGS 5427850,2/19/2009,83.8,0.299,
USGS,USGS 5427850,2/20/2009,88.8,0.299,
USGS,USGS 5427850,2/21/2009,87.8,0.299,
USGS,USGS 5427850,2/22/2009,82.9,0.298,
USGS,USGS 5427850,2/23/2009,81.3,0.298,
USGS,USGS 5427850,2/24/2009,84.7,0.298,
USGS,USGS 5427850,2/25/2009,86.6,0.297,
USGS,USGS 5427850,2/26/2009,123,0.326,
USGS,USGS 5427850,2/27/2009,411,0.657,
USGS LAKE SAMPLES,WIDNR 133040,2/27/2009,,,0.76
USGS,USGS 5427850,2/28/2009,441,0.646,
USGS,USGS 5427850,3/1/2009,256,0.547,
USGS,USGS 5427850,3/2/2009,119,0.464,
USGS,USGS 5427850,3/3/2009,99.3,0.431,
USGS,USGS 5427850,3/4/2009,97.3,0.43,
USGS,USGS 5427850,3/5/2009,117,0.429,
USGS,USGS 5427850,3/6/2009,190,0.428,
USGS,USGS 5427850,3/7/2009,240,0.453,
USGS,USGS 5427850,3/8/2009,535,0.595,
USGS,USGS 5427850,3/9/2009,698,0.75,
Not listed,WIDNR 133040,3/9/2009,,,0.787
USGS LAKE SAMPLES,WIDNR 133040,3/9/2009,,,0.939
USGS,USGS 5427850,3/10/2009,701,0.708,
Not listed,WIDNR 133040,3/10/2009,,,0.685
USGS,USGS 5427850,3/11/2009,710,0.691,
USGS,USGS 5427850,3/12/2009,508,0.647,
Not listed,WIDNR 133040,3/12/2009,,,0.686
USGS,USGS 5427850,3/13/2009,252,0.571,
USGS,USGS 5427850,3/14/2009,179,0.505,
USGS,USGS 5427850,3/15/2009,165,0.446,
Not listed,WIDNR 133040,3/15/2009,,,0.423
USGS,USGS 5427850,3/16/2009,155,0.376,
USGS,USGS 5427850,3/17/2009,152,0.305,
USGS,USGS 5427850,3/18/2009,161,0.268,
Not listed,WIDNR 133040,3/18/2009,,,0.273
USGS,USGS 5427850,3/19/2009,149,0.258,
USGS,USGS 5427850,3/20/2009,120,0.248,
USGS,USGS 5427850,3/21/2009,137,0.239,
USGS,USGS 5427850,3/22/2009,142,0.23,
USGS,USGS 5427850,3/23/2009,122,0.221,
USGS,USGS 5427850,3/24/2009,166,0.213,
USGS,USGS 5427850,3/25/2009,415,0.205,
USGS,USGS 5427850,3/26/2009,444,0.199,
Not listed,WIDNR 133040,3/26/2009,,,0.197
USGS,USGS 5427850,3/27/2009,229,0.209,
USGS,USGS 5427850,3/28/2009,181,0.222,
USGS,USGS 5427850,3/29/2009,107,0.235,
Not listed,WIDNR 133040,3/29/2009,,,0.242
USGS,USGS 5427850,3/30/2009,161,0.219,
USGS,USGS 5427850,3/31/2009,88.6,0.183,
USGS,USGS 5427850,4/1/2009,200,0.152,
USGS,USGS 5427850,4/2/2009,198,0.132,
Not listed,WIDNR 133040,4/2/2009,,,0.131
USGS,USGS 5427850,4/3/2009,137,0.128,
USGS,USGS 5427850,4/4/2009,132,0.125,
USGS,USGS 5427850,4/5/2009,154,0.122,
USGS,USGS 5427850,4/6/2009,119,0.12,
USGS,USGS 5427850,4/7/2009,110,0.117,
USGS,USGS 5427850,4/8/2009,127,0.115,
USGS,USGS 5427850,4/9/2009,127,0.112,
USGS,USGS 5427850,4/10/2009,120,0.11,
USGS,USGS 5427850,4/11/2009,113,0.108,
Not listed,WIDNR 133040,4/11/2009,,,0.108
USGS,USGS 5427850,4/12/2009,121,0.109,
USGS,USGS 5427850,4/13/2009,123,0.111,
USGS,USGS 5427850,4/14/2009,105,0.112,
USGS,USGS 5427850,4/15/2009,107,0.113,
USGS,USGS 5427850,4/16/2009,109,0.115,
USGS,USGS 5427850,4/17/2009,107,0.116,
USGS,USGS 5427850,4/18/2009,107,0.117,
USGS,USGS 5427850,4/19/2009,120,0.119,
USGS,USGS 5427850,4/20/2009,144,0.12,
Mendota Yahara Tributary Study 2008-09,WIDNR 133040,4/20/2009,,,0.12
USGS,USGS 5427850,4/21/2009,176,0.118,
USGS,USGS 5427850,4/22/2009,166,0.116,
USGS,USGS 5427850,4/23/2009,126,0.115,
Mendota Yahara Tributary Study 2008-09,WIDNR 133040,4/23/2009,,,0.114
USGS,USGS 5427850,4/24/2009,96.7,0.122,
USGS,USGS 5427850,4/25/2009,167,0.133,
USGS,USGS 5427850,4/26/2009,323,0.144,
USGS,USGS 5427850,4/27/2009,450,0.159,
Mendota Yahara Tributary Study 2008-09,WIDNR 133040,4/27/2009,,,0.15
USGS,USGS 5427850,4/28/2009,276,0.178,
USGS,USGS 5427850,4/29/2009,138,0.197,
Mendota Yahara Tributary Study 2008-09,WIDNR 133040,4/29/2009,,,0.202
USGS,USGS 5427850,4/30/2009,135,0.189,
USGS,USGS 5427850,5/1/2009,153,0.176,
USGS,USGS 5427850,5/2/2009,130,0.164,
USGS,USGS 5427850,5/3/2009,128,0.152,
USGS,USGS 5427850,5/4/2009,116,0.143,
Not listed,WIDNR 133040,5/4/2009,,,0.143
USGS,USGS 5427850,5/5/2009,114,0.141,
USGS,USGS 5427850,5/6/2009,117,0.139,
USGS,USGS 5427850,5/7/2009,146,0.137,
USGS,USGS 5427850,5/8/2009,145,0.135,
USGS,USGS 5427850,5/9/2009,258,0.134,
Mendota Yahara Tributary Study 2008-09,WIDNR 133040,5/9/2009,,,0.133
USGS,USGS 5427850,5/10/2009,306,0.136,
USGS,USGS 5427850,5/11/2009,181,0.142,
USGS,USGS 5427850,5/12/2009,121,0.148,
USGS,USGS 5427850,5/13/2009,132,0.154,
Not listed,WIDNR 133040,5/13/2009,,,0.156
USGS,USGS 5427850,5/14/2009,266,0.155,
USGS,USGS 5427850,5/15/2009,265,0.154,
USGS,USGS 5427850,5/16/2009,158,0.153,
USGS,USGS 5427850,5/17/2009,135,0.152,
USGS,USGS 5427850,5/18/2009,97.8,0.151,
USGS,USGS 5427850,5/19/2009,130,0.149,
USGS,USGS 5427850,5/20/2009,95.3,0.148,
USGS,USGS 5427850,5/21/2009,140,0.147,
USGS,USGS 5427850,5/22/2009,101,0.146,
USGS,USGS 5427850,5/23/2009,108,0.145,
USGS,USGS 5427850,5/24/2009,111,0.144,
USGS,USGS 5427850,5/25/2009,99.4,0.143,
USGS,USGS 5427850,5/26/2009,99.7,0.141,
USGS,USGS 5427850,5/27/2009,99,0.14,
USGS,USGS 5427850,5/28/2009,108,0.139,
USGS,USGS 5427850,5/29/2009,111,0.138,
USGS,USGS 5427850,5/30/2009,109,0.137,
USGS,USGS 5427850,5/31/2009,95.3,0.136,
USGS,USGS 5427850,6/1/2009,109,0.135,
USGS,USGS 5427850,6/2/2009,93.7,0.134,
USGS,USGS 5427850,6/3/2009,96.4,0.133,
USGS,USGS 5427850,6/4/2009,95.1,0.132,
USGS,USGS 5427850,6/5/2009,92.4,0.131,
USGS,USGS 5427850,6/6/2009,99.1,0.13,
USGS,USGS 5427850,6/7/2009,100,0.129,
USGS,USGS 5427850,6/8/2009,157,0.128,
USGS,USGS 5427850,6/9/2009,186,0.127,
USGS,USGS 5427850,6/10/2009,114,0.126,
Not listed,WIDNR 133040,6/10/2009,,,0.126
USGS,USGS 5427850,6/11/2009,100,0.125,
USGS,USGS 5427850,6/12/2009,97.9,0.124,
USGS,USGS 5427850,6/13/2009,101,0.122,
USGS,USGS 5427850,6/14/2009,101,0.121,
USGS,USGS 5427850,6/15/2009,95.7,0.12,
USGS,USGS 5427850,6/16/2009,93.9,0.119,
USGS,USGS 5427850,6/17/2009,88.6,0.118,
USGS,USGS 5427850,6/18/2009,85,0.117,
USGS,USGS 5427850,6/19/2009,310,0.12,
Not listed,WIDNR 133040,6/19/2009,,,0.116
USGS,USGS 5427850,6/20/2009,287,0.129,
USGS,USGS 5427850,6/21/2009,153,0.139,
USGS,USGS 5427850,6/22/2009,128,0.148,
Not listed,WIDNR 133040,6/22/2009,,,0.149
USGS,USGS 5427850,6/23/2009,108,0.151,
USGS,USGS 5427850,6/24/2009,99.1,0.152,
USGS,USGS 5427850,6/25/2009,94.3,0.155,
Not listed,WIDNR 133040,6/25/2009,,,0.154
USGS,USGS 5427850,6/26/2009,91.2,0.161,
USGS,USGS 5427850,6/27/2009,83.1,0.168,
USGS,USGS 5427850,6/28/2009,90.7,0.175,
USGS,USGS 5427850,6/29/2009,96.6,0.179,
Not listed,WIDNR 133040,6/29/2009,,,0.182
USGS,USGS 5427850,6/30/2009,88.9,0.168,
USGS,USGS 5427850,7/1/2009,87.1,0.156,
USGS,USGS 5427850,7/2/2009,89.3,0.147,
Not listed,WIDNR 133040,7/2/2009,,,0.145
USGS,USGS 5427850,7/3/2009,86.9,0.148,
USGS,USGS 5427850,7/4/2009,85.3,0.151,
USGS,USGS 5427850,7/5/2009,85.2,0.153,
USGS,USGS 5427850,7/6/2009,84.4,0.155,
Not listed,WIDNR 133040,7/6/2009,,,0.156
USGS,USGS 5427850,7/7/2009,83.5,0.153,
USGS,USGS 5427850,7/8/2009,82.9,0.151,
USGS,USGS 5427850,7/9/2009,75.9,0.148,
USGS,USGS 5427850,7/10/2009,89.4,0.145,
USGS,USGS 5427850,7/11/2009,98,0.143,
Not listed,WIDNR 133040,7/11/2009,,,0.143
USGS,USGS 5427850,7/12/2009,84.3,0.138,
USGS,USGS 5427850,7/13/2009,79.6,0.133,
USGS,USGS 5427850,7/14/2009,72.5,0.129,
USGS,USGS 5427850,7/15/2009,83.1,0.124,
USGS,USGS 5427850,7/16/2009,79.3,0.12,
Not listed,WIDNR 133040,7/16/2009,,,0.12
USGS,USGS 5427850,7/17/2009,81.4,0.114,
USGS,USGS 5427850,7/18/2009,79.3,0.108,
USGS,USGS 5427850,7/19/2009,78.8,0.102,
USGS,USGS 5427850,7/20/2009,74.7,0.098,
Not listed,WIDNR 133040,7/20/2009,,,0.097
USGS,USGS 5427850,7/21/2009,75.7,0.103,
USGS,USGS 5427850,7/22/2009,85.6,0.108,
USGS,USGS 5427850,7/23/2009,88.9,0.114,
USGS,USGS 5427850,7/24/2009,68.3,0.12,
USGS,USGS 5427850,7/25/2009,97.9,0.127,
Not listed,WIDNR 133040,7/25/2009,,,0.124
USGS,USGS 5427850,7/26/2009,83,0.133,
USGS,USGS 5427850,7/27/2009,69.3,0.14,
USGS,USGS 5427850,7/28/2009,88.3,0.147,
USGS,USGS 5427850,7/29/2009,75.2,0.154,
Not listed,WIDNR 133040,7/29/2009,,,0.153
USGS,USGS 5427850,7/30/2009,80.8,0.159,
USGS,USGS 5427850,7/31/2009,69.6,0.165,
Not listed,WIDNR 133040,7/31/2009,,,0.164
USGS,USGS 5427850,8/1/2009,88.8,0.176,
USGS,USGS 5427850,8/2/2009,53,0.189,
USGS,USGS 5427850,8/3/2009,98,0.202,
USGS,USGS 5427850,8/4/2009,78.9,0.215,
Not listed,WIDNR 133040,8/4/2009,,,0.216
USGS,USGS 5427850,8/5/2009,71.3,0.221,
USGS,USGS 5427850,8/6/2009,74.5,0.227,
USGS,USGS 5427850,8/7/2009,67,0.232,
USGS,USGS 5427850,8/8/2009,101,0.237,
Not listed,WIDNR 133040,8/8/2009,,,0.24
USGS,USGS 5427850,8/9/2009,115,0.203,
Not listed,WIDNR 133040,8/9/2009,,,0.175
USGS,USGS 5427850,8/10/2009,97.5,0.169,
USGS,USGS 5427850,8/11/2009,82.7,0.16,
USGS,USGS 5427850,8/12/2009,74.5,0.153,
Not listed,WIDNR 133040,8/12/2009,,,0.151
USGS,USGS 5427850,8/13/2009,64.6,0.159,
USGS,USGS 5427850,8/14/2009,70.3,0.168,
USGS,USGS 5427850,8/15/2009,71,0.176,
USGS,USGS 5427850,8/16/2009,66,0.186,
USGS,USGS 5427850,8/17/2009,87.9,0.195,
USGS,USGS 5427850,8/18/2009,74.3,0.206,
USGS,USGS 5427850,8/19/2009,70.4,0.214,
Not listed,WIDNR 133040,8/19/2009,,,0.216
USGS,USGS 5427850,8/20/2009,61.5,0.21,
USGS,USGS 5427850,8/21/2009,104,0.203,
USGS,USGS 5427850,8/22/2009,74.2,0.198,
USGS,USGS 5427850,8/23/2009,69.9,0.192,
USGS,USGS 5427850,8/24/2009,53.7,0.186,
USGS,USGS 5427850,8/25/2009,94.4,0.181,
USGS,USGS 5427850,8/26/2009,78.7,0.177,
Not listed,WIDNR 133040,8/26/2009,,,0.176
USGS,USGS 5427850,8/27/2009,76.4,0.177,
USGS,USGS 5427850,8/28/2009,67.7,0.177,
USGS,USGS 5427850,8/29/2009,86.2,0.178,
USGS,USGS 5427850,8/30/2009,67.9,0.178,
USGS,USGS 5427850,8/31/2009,71.7,0.178,
Not listed,WIDNR 133040,8/31/2009,,,0.179
USGS,USGS 5427850,9/1/2009,71,0.172,
USGS,USGS 5427850,9/2/2009,71,0.166,
USGS,USGS 5427850,9/3/2009,70.8,0.16,
Not listed,WIDNR 133040,9/3/2009,,,0.16
USGS,USGS 5427850,9/4/2009,68.7,0.156,
USGS,USGS 5427850,9/5/2009,67.4,0.152,
USGS,USGS 5427850,9/6/2009,67.4,0.148,
USGS,USGS 5427850,9/7/2009,69.8,0.144,
USGS,USGS 5427850,9/8/2009,67.6,0.14,
USGS,USGS 5427850,9/9/2009,68.1,0.136,
Not listed,WIDNR 133040,9/9/2009,,,0.137
USGS,USGS 5427850,9/10/2009,66.1,0.13,
USGS,USGS 5427850,9/11/2009,67.8,0.125,
Not listed,WIDNR 133040,9/11/2009,,,0.124
USGS,USGS 5427850,9/12/2009,70.2,0.125,
USGS,USGS 5427850,9/13/2009,66.9,0.126,
USGS,USGS 5427850,9/14/2009,68.2,0.125,
Not listed,WIDNR 133040,9/14/2009,,,0.127
USGS,USGS 5427850,9/15/2009,66.5,0.119,
USGS,USGS 5427850,9/16/2009,67,0.113,
USGS,USGS 5427850,9/17/2009,66.6,0.107,
USGS,USGS 5427850,9/18/2009,69,0.102,
Not listed,WIDNR 133040,9/18/2009,,,0.101
USGS,USGS 5427850,9/19/2009,63.1,0.1,
USGS,USGS 5427850,9/20/2009,67.7,0.1,
USGS,USGS 5427850,9/21/2009,63.4,0.099,
USGS,USGS 5427850,9/22/2009,165,0.102,
Not listed,WIDNR 133040,9/22/2009,,,0.099
USGS,USGS 5427850,9/23/2009,288,0.102,
Not listed,WIDNR 133040,9/23/2009,,,0.11
Not listed,WIDNR 133040,9/23/2009,,,0.109
Not listed,WIDNR 133040,9/23/2009,,,0.113
Not listed,WIDNR 133040,9/23/2009,,,0.113
Not listed,WIDNR 133040,9/23/2009,,,0.1
Not listed,WIDNR 133040,9/23/2009,,,0.087
USGS,USGS 5427850,9/24/2009,165,0.131,
Not listed,WIDNR 133040,9/24/2009,,,0.106
Not listed,WIDNR 133040,9/24/2009,,,0.133
USGS,USGS 5427850,9/25/2009,100,0.15,
USGS,USGS 5427850,9/26/2009,90.8,0.167,
USGS,USGS 5427850,9/27/2009,85.8,0.176,
Not listed,WIDNR 133040,9/27/2009,,,0.184
USGS,USGS 5427850,9/28/2009,102,0.143,
USGS,USGS 5427850,9/29/2009,97.8,0.111,
USGS,USGS 5427850,9/30/2009,78.3,,
USGS,USGS 5427850,10/1/2009,91.5,0.115,
Not listed,WIDNR 133040,10/1/2009,,,0.118
USGS,USGS 5427850,10/2/2009,94.2,0.111,
USGS,USGS 5427850,10/3/2009,105,0.104,
USGS,USGS 5427850,10/4/2009,89.1,0.098,
USGS,USGS 5427850,10/5/2009,93.6,0.092,
USGS,USGS 5427850,10/6/2009,60.1,0.086,
USGS,USGS 5427850,10/7/2009,113,0.081,
Not listed,WIDNR 133040,10/7/2009,,,0.083
USGS,USGS 5427850,10/8/2009,111,0.077,
USGS,USGS 5427850,10/9/2009,81,0.073,
USGS,USGS 5427850,10/10/2009,81.9,0.069,
USGS,USGS 5427850,10/11/2009,83.7,0.065,
USGS,USGS 5427850,10/12/2009,83.1,0.061,
USGS,USGS 5427850,10/13/2009,80.5,0.058,
USGS,USGS 5427850,10/14/2009,89.8,0.056,
Not listed,WIDNR 133040,10/14/2009,,,0.055
USGS,USGS 5427850,10/15/2009,78.5,0.057,
USGS,USGS 5427850,10/16/2009,74.9,0.059,
USGS,USGS 5427850,10/17/2009,79.5,0.061,
USGS,USGS 5427850,10/18/2009,53,0.063,
USGS,USGS 5427850,10/19/2009,104,0.066,
USGS,USGS 5427850,10/20/2009,86.4,0.068,
USGS,USGS 5427850,10/21/2009,52.8,0.07,
USGS,USGS 5427850,10/22/2009,149,0.073,
USGS,USGS 5427850,10/23/2009,112,0.076,
USGS,USGS 5427850,10/24/2009,177,0.078,
USGS,USGS 5427850,10/25/2009,134,0.081,
USGS,USGS 5427850,10/26/2009,105,0.084,
USGS,USGS 5427850,10/27/2009,111,0.087,
USGS,USGS 5427850,10/28/2009,93.9,0.09,
USGS,USGS 5427850,10/29/2009,93.6,0.093,
USGS,USGS 5427850,10/30/2009,80.1,0.097,
USGS,USGS 5427850,10/31/2009,287,0.1,
USGS,USGS 5427850,11/1/2009,123,0.104,
USGS,USGS 5427850,11/2/2009,116,0.107,
Not listed,WIDNR 133040,11/2/2009,,,0.107
USGS,USGS 5427850,11/3/2009,89.3,0.108,
USGS,USGS 5427850,11/4/2009,103,0.109,
USGS,USGS 5427850,11/5/2009,97.1,0.11,
USGS,USGS 5427850,11/6/2009,68.2,0.109,
Not listed,WIDNR 133040,11/6/2009,,,0.111
USGS,USGS 5427850,11/7/2009,121,0.099,
USGS,USGS 5427850,11/8/2009,78.3,0.09,
USGS,USGS 5427850,11/9/2009,108,0.081,
USGS,USGS 5427850,11/10/2009,94.7,0.074,
Not listed,WIDNR 133040,11/10/2009,,,0.074
USGS,USGS 5427850,11/11/2009,91.4,0.071,
USGS,USGS 5427850,11/12/2009,82.1,0.068,
USGS,USGS 5427850,11/13/2009,97.1,0.065,
Not listed,WIDNR 133040,11/13/2009,,,0.065
USGS,USGS 5427850,11/14/2009,112,0.063,
USGS,USGS 5427850,11/15/2009,95.3,0.062,
USGS,USGS 5427850,11/16/2009,102,0.061,
USGS,USGS 5427850,11/17/2009,92.8,0.059,
USGS,USGS 5427850,11/18/2009,79.2,0.058,
Not listed,WIDNR 133040,11/18/2009,,,0.058
USGS,USGS 5427850,11/19/2009,84.3,0.056,
USGS,USGS 5427850,11/20/2009,96,0.054,
USGS,USGS 5427850,11/21/2009,92.9,0.052,
USGS,USGS 5427850,11/22/2009,90.4,0.05,
USGS,USGS 5427850,11/23/2009,90.1,0.049,
USGS,USGS 5427850,11/24/2009,95.3,0.047,
USGS,USGS 5427850,11/25/2009,94.5,0.046,
USGS,USGS 5427850,11/26/2009,143,0.044,
USGS,USGS 5427850,11/27/2009,126,0.043,
Not listed,WIDNR 133040,11/27/2009,,,0.043
USGS,USGS 5427850,11/28/2009,113,0.043,
USGS,USGS 5427850,11/29/2009,105,0.043,
USGS,USGS 5427850,11/30/2009,66.5,0.043,
USGS,USGS 5427850,12/1/2009,108,0.043,
USGS,USGS 5427850,12/2/2009,112,0.043,
Not listed,WIDNR 133040,12/2/2009,,,0.043
USGS,USGS 5427850,12/3/2009,75.5,0.043,
USGS,USGS 5427850,12/4/2009,73,0.044,
USGS,USGS 5427850,12/5/2009,94.5,0.044,
USGS,USGS 5427850,12/6/2009,90.3,0.044,
USGS,USGS 5427850,12/7/2009,81,0.044,
USGS,USGS 5427850,12/8/2009,86.5,0.045,
USGS,USGS 5427850,12/9/2009,70.8,0.045,
USGS,USGS 5427850,12/10/2009,88.1,0.045,
USGS,USGS 5427850,12/11/2009,79.2,0.046,
USGS,USGS 5427850,12/12/2009,74.9,0.046,
USGS,USGS 5427850,12/13/2009,82.1,0.046,
USGS,USGS 5427850,12/14/2009,82,0.047,
USGS,USGS 5427850,12/15/2009,73.9,0.047,
USGS,USGS 5427850,12/16/2009,67.2,0.047,
USGS,USGS 5427850,12/17/2009,76.8,0.048,
USGS,USGS 5427850,12/18/2009,77.2,0.048,
USGS,USGS 5427850,12/19/2009,77.7,0.048,
USGS,USGS 5427850,12/20/2009,75,0.049,
USGS,USGS 5427850,12/21/2009,76.5,0.049,
USGS,USGS 5427850,12/22/2009,79.6,0.049,
USGS,USGS 5427850,12/23/2009,82.2,0.05,
USGS,USGS 5427850,12/24/2009,86,0.05,
USGS,USGS 5427850,12/25/2009,139,0.056,
USGS,USGS 5427850,12/26/2009,208,0.062,
USGS,USGS 5427850,12/27/2009,172,0.059,
USGS,USGS 5427850,12/28/2009,133,0.054,
USGS,USGS 5427850,12/29/2009,101,0.052,
USGS,USGS 5427850,12/30/2009,100,0.052,
USGS,USGS 5427850,12/31/2009,98,0.052,
USGS,USGS 5427850,1/1/2010,96,0.052,
USGS,USGS 5427850,1/2/2010,94,0.052,
USGS,USGS 5427850,1/3/2010,90,0.052,
USGS,USGS 5427850,1/4/2010,88,0.051,
USGS,USGS 5427850,1/5/2010,86.2,0.051,
USGS,USGS 5427850,1/6/2010,83.6,0.051,
USGS,USGS 5427850,1/7/2010,87.5,0.051,
USGS,USGS 5427850,1/8/2010,92.5,0.051,
USGS,USGS 5427850,1/9/2010,89.7,0.051,
USGS,USGS 5427850,1/10/2010,86.4,0.051,
USGS,USGS 5427850,1/11/2010,90,0.051,
USGS,USGS 5427850,1/12/2010,88,0.051,
USGS,USGS 5427850,1/13/2010,86,0.051,
USGS,USGS 5427850,1/14/2010,84,0.051,
USGS,USGS 5427850,1/15/2010,88,0.05,
USGS,USGS 5427850,1/16/2010,92,0.05,
USGS,USGS 5427850,1/17/2010,90,0.05,
USGS,USGS 5427850,1/18/2010,86,0.05,
USGS,USGS 5427850,1/19/2010,90,0.05,
USGS,USGS 5427850,1/20/2010,90,0.05,
USGS,USGS 5427850,1/21/2010,88,0.05,
Not listed,WIDNR 133040,1/21/2010,,,0.05
USGS,USGS 5427850,1/22/2010,82.1,0.05,
USGS,USGS 5427850,1/23/2010,84.7,0.05,
USGS,USGS 5427850,1/24/2010,96,0.05,
USGS,USGS 5427850,1/25/2010,92,0.05,
USGS,USGS 5427850,1/26/2010,90,0.05,
USGS,USGS 5427850,1/27/2010,90,0.05,
USGS,USGS 5427850,1/28/2010,88,0.05,
USGS,USGS 5427850,1/29/2010,87.4,0.05,
USGS,USGS 5427850,1/30/2010,84.6,0.051,
USGS,USGS 5427850,1/31/2010,83.3,0.051,
USGS,USGS 5427850,2/1/2010,81.2,0.051,
